,metric,gaussian_blur,median_filter,bilateral_filter,non_local_means,wavelete_transform,wiener,anisotropic_diffusion,tv_denoise,notch_filtered,bandpassed,bm3d
0,lpips_mean,-221.424645,-145.469325,-734.422685,-120.07709000000001,-89.7853076923077,,,,,,
1,lpips_std,71.22734497156956,53.23022460819956,242.80210673716525,51.74000224460664,37.13334377007208,,,,,,
2,psnr_mean,-4.503115,-5.852715,-60.22204000000001,-3.30201,-5.777282051282051,-3.0283399999999996,0.0,-0.625185,-0.354095,-95.495365,0.06764999999999999
3,psnr_std,2.2150571125311878,2.911168537507748,6.765156944846143,1.625535979269607,2.3543494822454964,1.719627024793458,0.0,0.8560614818895894,0.33303191434906054,0.9167500541450757,0.2557107301229262
4,ssim_mean,-2.84147,-4.673414999999999,-31.136725,-2.7569600000000003,-2.7629230769230766,5.995335,0.0,5.67722,-82.32432,-94.88599,-0.6664150000000001
5,ssim_std,1.0296869908375068,1.957168861589362,5.275701971242785,1.6682572398763926,0.7749797477789053,5.778937926018499,0.0,10.706902115999753,13.869100423877535,4.029155296076338,0.6022572230990675
